Open,High,Low,Close,TickVolume
1.13279,1.13519,1.13009,1.13227,20310
1.13105,1.13341,1.12893,1.1307,7242
1.1307,1.13661,1.13056,1.13213,13889
1.1321,1.1335,1.12547,1.12748,41274
1.12751,1.13107,1.11667,1.12614,54138
1.12612,1.12883,1.11521,1.11612,71882
1.11611,1.11855,1.11553,1.11781,27262
1.12108,1.12515,1.12089,1.12238,25227
1.12238,1.12416,1.12157,1.12254,33118
1.12256,1.13054,1.12235,1.12666,64371
1.12671,1.13521,1.12555,1.13383,49864
1.13382,1.144,1.13343,1.13901,65446
1.13901,1.14032,1.13431,1.13581,23526
1.13559,1.13692,1.13455,1.13527,27453
1.13526,1.14102,1.13308,1.13892,36926
1.13893,1.14024,1.12867,1.12939,63861
1.12939,1.13465,1.12555,1.13273,64247
1.13271,1.13387,1.12801,1.13131,70615
1.13129,1.13345,1.12792,1.13217,32259
1.1313,1.13584,1.13096,1.13406,22484
1.13404,1.13507,1.13175,1.13258,44232
1.13254,1.13304,1.12456,1.12619,61850
1.12622,1.12863,1.12214,1.12459,59042
1.12462,1.12784,1.11886,1.11932,53342
1.11934,1.12267,1.11846,1.12166,27833
1.12156,1.12284,1.1197,1.12086,23060
1.12084,1.12416,1.11906,1.12211,44386
1.12211,1.12403,1.11799,1.11846,64462
1.11849,1.13077,1.11714,1.12551,72027
1.12554,1.13367,1.12425,1.12552,76190
1.12552,1.12556,1.12024,1.1235,39358
1.12324,1.1238,1.1198,1.12063,18784
1.12064,1.12189,1.119,1.11962,40839
1.11962,1.12227,1.1123,1.11307,61233
1.11306,1.11539,1.10607,1.1129,59312
1.11289,1.12998,1.11171,1.12597,88257
1.12604,1.13143,1.12426,1.12932,28183
1.13793,1.14083,1.13067,1.13278,34133
1.13277,1.13538,1.12999,1.13479,39721
1.13478,1.13824,1.13029,1.13264,55250
1.13276,1.1349,1.12732,1.13245,59506
1.13242,1.13442,1.12579,1.12752,69975
1.12755,1.12959,1.12714,1.12767,17161
1.12712,1.13255,1.12695,1.13184,19820
1.13183,1.13241,1.12921,1.12988,39504
1.12991,1.13321,1.12711,1.13206,49395
1.13204,1.13641,1.13051,1.13633,41493
1.13634,1.14994,1.13629,1.14699,56318
1.14695,1.1488,1.14598,1.14693,24412
1.14693,1.1476,1.14317,1.14384,17301
1.14384,1.14677,1.14302,1.14525,33543
1.14525,1.16064,1.14453,1.16003,62494
1.16001,1.16203,1.15456,1.15553,64570
1.15552,1.16389,1.15439,1.16105,59769
1.16108,1.16335,1.15975,1.16267,13655
1.16162,1.16451,1.15772,1.16247,12561
1.16249,1.16396,1.16046,1.16231,16259
1.1623,1.16366,1.15853,1.15904,40674
1.15902,1.15956,1.1549,1.15778,46063
1.15777,1.16343,1.15567,1.15733,60971
1.15734,1.16017,1.15573,1.15629,14766
1.15574,1.15739,1.15438,1.15522,8116
1.15527,1.15941,1.15477,1.15721,18814
